Key,english
resourceAloe1BundleKy,Bundle of Aloe Vera Seeds(500)
resourceBlueberry1BundleKy,Bundle of Blueberry Seeds(500)
resourceChrysanthemum1BundleKy,Bundle of Chrysanthemum Seeds(500)
resourceCoffee1BundleKy,Bundle of Coffee Seeds(500)
resourceCorn1BundleKy,Bundle of Corn Seeds(500)
resourceCotton1BundleKy,Bundle of Cotton Seeds(500)
resourceGoldenrod1BundleKy,Bundle of Goldenrod Seeds(500)
resourceGraceCorn1BundleKy,Bundle of Super Corn Seeds(500)
resourceHop1BundleKy,Bundle of Hop Seeds(500)
resourceMushroom1BundleKy,Bundle of Mushroom Spores(500)
resourcePotato1BundleKy,Bundle of Potato Seeds(500)
resourcePumpkin1BundleKy,Bundle of Pumpkin Seeds(500)
resourcetreeGrassSeed1BundleKy,Bundle of Grass Seeds(500)
resourceYucca1BundleKy,Bundle of Yucca Seeds(500)
resourceAcidBundleKy,Bundle of Bottles of Acid(100)
resourceAnimalFatBundleKy,Bundle of Animal Fat(500)
resourceArmorCraftingKitBundleKy,Bundle of Armor Crafting Kits(25)
resourceArrowHeadIronBundleKy,Bundle of Iron Arrowheads(500)
resourceArrowHeadSteelAPBundleKy,Bundle of Steel Arrowheads(500)
resourceBoneBundleKy,Bundle of Bones(1200)
resourceBrokenGlassBundleKy,Bundle of Broken Glass(6000)
resourceBuckshotBundleKy,Bundle of Buckshot(1000)
resourceBulletCasingBundleKy,Bundle of Bullet Casings(1000)
resourceBulletTipBundleKy,Bundle of Bullet Tips(1000)
resourceCementBundleKy,Bundle of Cement(1000)
resourceClothBundleKy,Bundle of Cloth Fragments(250)
resourceCobblestonesBundleKy,Bundle of Cobblestones(1000)
resourceConcreteMixBundleKy,Bundle of Concrete Mix(1000)
resourceCropAloeLeafBundleKy,Bundle of Aloe Vera Leafs(500)
resourceCropChrysanthemumPlantBundleKy,Bundle of Chrysanthemum(500)
resourceCropCoffeeBeansBundleKy,Bundle of Coffee Beans(500)
resourceCropCottonPlantBundleKy,Bundle of Cotton(500)
resourceCropGoldenrodPlantBundleKy,Bundle of Goldenrod Flowers(500)
resourceCropHopsFlowerBundleKy,Bundle of Hops Flowers(500)
resourceCrushedSandBundleKy,Bundle of Crushed Sand(6000)
resourceDuctTapeBundleKy,Bundle of Duct Tape(500)
resourceElectricPartsBundleKy,Bundle of Electrical Parts(1000)
resourceFeatherBundleKy,Bundle of Feathers(250)
resourceForgedIronBundleKy,Bundle of Forged Iron(500)
resourceForgedSteelBundleKy,Bundle of Forged Steel(500)
resourceGlueBundleKy,Bundle of Glue(500)
resourceGoldNuggetBundleKy,Bundle of Gold Nuggets(250)
resourceGunPowderBundleKy,Bundle of Gunpowder(1000)
resourceHeadlightBundleKy,Bundle of Headlights(50)
resourceLeatherBundleKy,Bundle of Leather(250)
resourceLegendaryPartsBundleKy,Bundle of Legendary Parts(25)
resourceLockPickBundleKy,Bundle of Lockpicks(50)
resourceMechanicalPartsBundleKy,Bundle of Mechanical Parts(1000)
resourceMetalPipeBundleKy,Bundle of Short Iron Pipes(500)
resourceNailBundleKy,Bundle of Nails(1000)
resourceOilBundleKy,Bundle of Oil(50)
resourcePaintBundleKy,Bundle of Paint(1000)
resourcePaperBundleKy,Bundle of Paper(500)
resourceRawDiamondBundleKy,Bundle of Raw Diamonds(250)
resourceRepairKitBundleKy,Bundle of Repair Kits(25)
resourceRocketCasingBundleKy,Bundle of Rocket Casings(50)
resourceRocketTipBundleKy,Bundle of Rocket Tips(500)
resourceScopeLensBundleKy,Bundle of Scope Lens(10)
resourceScrapBrassBundleKy,Bundle of Brass(6000)
resourceSewingKitBundleKy,Bundle of Sewing kits(50)
resourceSilverNuggetBundleKy,Bundle of Silver Nuggets(250)
resourceSnowBallBundleKy,Bundle of Snow Balls(6000)
resourceSpringBundleKy,Bundle of Spings(500)
resourceTestosteroneExtractBundleKy,Bundle of Testosterone Extract(10)
resourceYuccaFibersBundleKy,Bundle of Plant Fibers(6000)
resourceDynamiteBundleKy,Bundle of Dynamite(10)
resourceGrenadeBundleKy,Bundle of Grenades(25)
resourceGrenadeContactBundleKy,Bundle of Contact Grenades(25)
resourceAmmoMolotovCocktailBundleKy,Bundle of Molotov Cocktail(20)
resourceAmmoPipeBombBundleKy,Bundle of Pipe Bombs(25)
resourceTimedChargeBundleKy,Bundle of Timed Charges(10)
resourceBeakerBundleKy,Bundle of Beakers(10)
resourceCookingGrillBundleKy,Bundle of Cooking Grills(3)
resourceCookingPotBundleKy,Bundle of Cooking Pots(3)
resourcePlantedMountainPine1mBundleKy,Bundle of Pine Seeds(500)
resourcePlantedOak1mBundleKy,Bundle of Oak Seeds(500)
resourcePlantedWinterPine1mBundleKy,Bundle of Blue Spruce Seeds(500)
resourceBicycleChassisBundleKy,Bundle of Bicycle Chassis(50)
resourceBicycleHandlebarsBundleKy,Bundle of Bicycle Handlebars(50)
resourceGyroCopterAccessoriesBundleKy,Bundle of Gyrocopter Accessories(50)
resourceGyroCopterChassisBundleKy,Bundle of Gyrocopter Chassis(50)
resourceMinibikeChassisBundleKy,Bundle of Minibike Chassis(50)
resourceMinibikeHandlebarsBundleKy,Bundle of Minibike Handlebars(50)
resourceMotorcycleChassisBundleKy,Bundle of Motorcycle Chassis(50)
resourceMotorcycleHandlebarsBundleKy,Bundle of Motorcycle Handlebars(50)
resourceTruck4x4AccessoriesBundleKy,Bundle of 4x4 Truck Accessories(50)
resourceTruck4x4ChassisBundleKy,Bundle of 4x4 Truck Chassis(50)
resourceWheelsBundleKy,Bundle of Wheels(50)
resourceScrapPolymersBundleKy,Bundle of Scrap Polymers(1000)
resourceRadiatorBundleKy,Bundle of Radiators(5)
resourcecasinoCoinBundleKy,Bundle of Duke's Casino Tokens(20000)
resource44MagnumBulletAPBundleKyDesc,This is a compact stack of AP 44 Magnum Bullets. Use this item to open and unpack it.
resource44MagnumBulletBallBundleKyDesc,This is a compact stack of 44 Magnum Bullets. Use this item to open and unpack it.
resource44MagnumBulletHPBundleKyDesc,This is a compact stack of HP 44 Magnum Bullets. Use this item to open and unpack it.
resource762mmBulletAPBundleKyDesc,This is a compact stack of AP 7.62mm Bullets. Use this item to open and unpack it.
resource762mmBulletBallBundleKyDesc,This is a compact stack of 7.62mm Bullets. Use this item to open and unpack it.
resource762mmBulletHPBundleKyDesc,This is a compact stack of HP 7.62mm Bullets. Use this item to open and unpack it.
resource9mmBulletAPBundleKyDesc,This is a compact stack of AP 9mm Bullets. Use this item to open and unpack it.
resource9mmBulletBallBundleKyDesc,This is a compact stack of 9mm Bullets. Use this item to open and unpack it.
resource9mmBulletHPBundleKyDesc,This is a compact stack of HP 9mm Bullets. Use this item to open and unpack it.
resourceArrowExplodingBundleKyDesc,This is a compact stack of Exploding Arrows. Use this item to open and unpack it.
resourceArrowFlamingBundleKyDesc,This is a compact stack of Flaming Arrows. Use this item to open and unpack it.
resourceArrowIronBundleKyDesc,This is a compact stack of Iron Arrows. Use this item to open and unpack it.
resourceArrowSteelAPBundleKyDesc,This is a compact stack of Steel Arrows. Use this item to open and unpack it.
resourceArrowStoneBundleKyDesc,This is a compact stack of Stone Arrows. Use this item to open and unpack it.
resourceCrossbowBoltExplodingBundleKyDesc,This is a compact stack of Exploding Crossbow Bolts. Use this item to open and unpack it.
resourceCrossbowBoltFlamingBundleKyDesc,This is a compact stack of Flaming Crossbow Bolts. Use this item to open and unpack it.
resourceCrossbowBoltIronBundleKyDesc,This is a compact stack of Iron Crossbow Bolts. Use this item to open and unpack it.
resourceCrossbowBoltSteelAPBundleKyDesc,This is a compact stack of Steel Crossbow Bolts. Use this item to open and unpack it.
resourceCrossbowBoltStoneBundleKyDesc,This is a compact stack of Stone Crossbow Bolts. Use this item to open and unpack it.
resourceDartIronBundleKyDesc,This is a compact stack of Iron Darts. Use this item to open and unpack it.
resourceGasCanBundleKyDesc,This is a compact stack of Gas Cans. Use this item to open and unpack it.
resourceJunkTurretAPBundleKyDesc,This is a compact stack of AP Robotic Turret Ammo. Use this item to open and unpack it.
resourceJunkTurretRegularBundleKyDesc,This is a compact stack of Robotic Turret Ammo. Use this item to open and unpack it.
resourceJunkTurretShellBundleKyDesc,This is a compact stack of Robotic Turret Shells. Use this item to open and unpack it.
resourceRocketFragBundleKyDesc,This is a compact stack of Frag Rockets. Use this item to open and unpack it.
resourceRocketHEBundleKyDesc,This is a compact stack of HE Rockets. Use this item to open and unpack it.
resourceShotgunBreachingSlugBundleKyDesc,This is a compact stack of Shotgun Breaching Slugs. Use this item to open and unpack it.
resourceShotgunShellBundleKyDesc,This is a compact stack of Shotgun Shells. Use this item to open and unpack it.
resourceShotgunSlugBundleKyDesc,This is a compact stack of Shotgun Slugs. Use this item to open and unpack it.
resourcearmorPartsBundleKyDesc,This is a compact stack of Armor Parts. Use this item to open and unpack it.
resourceCanMegaCrushBundleKyDesc,This is a compact stack of Mega Crush. Use this item to open and unpack it.
resourceJarBeerBundleKyDesc,This is a compact stack of Beers. Use this item to open and unpack it.
resourceJarBlackStrapCoffeeBundleKyDesc,This is a compact stack of Black Strap Coffee. Use this item to open and unpack it.
resourceJarBoiledWaterBundleKyDesc,This is a compact stack of Boiled Water. Use this item to open and unpack it.
resourceJarCoffeeBundleKyDesc,This is a compact stack of Coffee. Use this item to open and unpack it.
resourceJarGoldenRodTeaBundleKyDesc,This is a compact stack of Goldenrod Tea. Use this item to open and unpack it.
resourceJarGrandpasAwesomeSauceBundleKyDesc,This is a compact stack of Grandpa's Awesome Sauce. Use this item to open and unpack it.
resourceJarGrandpasForgettingElixirBundleKyDesc,This is a compact stack of Grandpa's Fergit'n Elixir. Use this item to open and unpack it.
resourceJarGrandpasLearningElixirBundleKyDesc,This is a compact stack of Grandpa's Learnin' Elixir. Use this item to open and unpack it.
resourceJarGrandpasMoonshineBundleKyDesc,This is a compact stack of Grandpa's Moonshine. Use this item to open and unpack it.
resourceJarPureMineralWaterBundleKyDesc,This is a compact stack of Pure Mineral Water. Use this item to open and unpack it.
resourceJarRedTeaBundleKyDesc,This is a compact stack of Read Tea. Use this item to open and unpack it.
resourceJarRiverWaterBundleKyDesc,This is a compact stack of Murky Water. Use this item to open and unpack it.
resourceJarYuccaJuiceBundleKyDesc,This is a compact stack of Yucca Juice. Use this item to open and unpack it.
resourceYuccaJuiceSmoothieBundleKyDesc,This is a compact stack of Yucca Juice Smoothie. Use this item to open and unpack it.
resourceAntibioticsBundleKyDesc,This is a compact stack of Antibiotics. Use this item to open and unpack it.
resourceAtomJunkiesBundleKyDesc,This is a compact stack of Atom Junkies. Use this item to open and unpack it.
resourceCovertCatsBundleKyDesc,This is a compact stack of Covert Cats. Use this item to open and unpack it.
resourceEyeKandyBundleKyDesc,This is a compact stack of Eye Candy. Use this item to open and unpack it.
resourceFortBitesBundleKyDesc,This is a compact stack of Fort Bites. Use this item to open and unpack it.
resourceHackersBundleKyDesc,This is a compact stack of Hackers. Use this item to open and unpack it.
resourceHealthBarBundleKyDesc,This is a compact stack of Health Bars. Use this item to open and unpack it.
resourceHerbalAntibioticsBundleKyDesc,This is a compact stack of Hearbal Antibiotics. Use this item to open and unpack it.
resourceJailBreakersBundleKyDesc,This is a compact stack of Jail Breakers. Use this item to open and unpack it.
resourceNerdTatsBundleKyDesc,This is a compact stack of Nerd Tats. Use this item to open and unpack it.
resourceOhShitzDropsBundleKyDesc,This is a compact stack of Oh Shitz Drops. Use this item to open and unpack it.
resourcePainkillersBundleKyDesc,This is a compact stack of Painkillers. Use this item to open and unpack it.
resourceRecogBundleKyDesc,This is a compact stack of Recog. Use this item to open and unpack it.
resourceRockBustersBundleKyDesc,This is a compact stack of Rock Busters. Use this item to open and unpack it.
resourceSkullCrushersBundleKyDesc,This is a compact stack of Skill Crushers. Use this item to open and unpack it.
resourceSteroidsBundleKyDesc,This is a compact stack of Steroids. Use this item to open and unpack it.
resourceSugarButtsBundleKyDesc,This is a compact stack of Sugar Butts. Use this item to open and unpack it.
resourceVitaminsBundleKyDesc,This is a compact stack of Vitamins. Use this item to open and unpack it.
resourceBaconAndEggsBundleKyDesc,This is a compact stack of Bacon and Eggs. Use this item to open and unpack it.
resourceBakedPotatoBundleKyDesc,This is a compact stack of Baked Potatos. Use this item to open and unpack it.
resourceBlueberryPieBundleKyDesc,This is a compact stack of Blueberry Pies. Use this item to open and unpack it.
resourceBoiledMeatBundleKyDesc,This is a compact stack of Boiled Meat. Use this item to open and unpack it.
resourceCanBeefBundleKyDesc,This is a compact stack of Large Beef Rations. Use this item to open and unpack it.
resourceCanCatfoodBundleKyDesc,This is a compact stack of Cans of Cat Food. Use this item to open and unpack it.
resourceCanChickenBundleKyDesc,This is a compact stack of Chicken Rations. Use this item to open and unpack it.
resourceCanChiliBundleKyDesc,This is a compact stack of Cans of Chili. Use this item to open and unpack it.
resourceCanDogfoodBundleKyDesc,This is a compact stack of Cans of Dog Food. Use this item to open and unpack it.
resourceCanLambBundleKyDesc,This is a compact stack of Lamb Rations. Use this item to open and unpack it.
resourceCanMisoBundleKyDesc,This is a compact stack of Cans of Miso. Use this item to open and unpack it.
resourceCanPastaBundleKyDesc,This is a compact stack of Cans of Pasta. Use this item to open and unpack it.
resourceCanPearsBundleKyDesc,This is a compact stack of Cans of Pears. Use this item to open and unpack it.
resourceCanPeasBundleKyDesc,This is a compact stack of Cans of Peas. Use this item to open and unpack it.
resourceCanSalmonBundleKyDesc,This is a compact stack of Cans of Salmon. Use this item to open and unpack it.
resourceCanShamBundleKyDesc,This is a compact stack of Cans of Sham. Use this item to open and unpack it.
resourceCanSoupBundleKyDesc,This is a compact stack of Chicken Soup. Use this item to open and unpack it.
resourceCanStockBundleKyDesc,This is a compact stack of Cans of Stock. Use this item to open and unpack it.
resourceCanTunaBundleKyDesc,This is a compact stack of Cans of Tuna. Use this item to open and unpack it.
resourceCharredMeatBundleKyDesc,This is a compact stack of Charred Meat. Use this item to open and unpack it.
resourceChiliDogBundleKyDesc,This is a compact stack of Chili Dogs. Use this item to open and unpack it.
resourceCornBreadBundleKyDesc,This is a compact stack of Corn Bread. Use this item to open and unpack it.
resourceCornMealBundleKyDesc,This is a compact stack of Cornmeal. Use this item to open and unpack it.
resourceCornOnTheCobBundleKyDesc,This is a compact stack of Grilled Corn. Use this item to open and unpack it.
resourceCropBlueberriesBundleKyDesc,This is a compact stack of Blueberries. Use this item to open and unpack it.
resourceCropCornBundleKyDesc,This is a compact stack of Corn. Use this item to open and unpack it.
resourceCropGraceCornBundleKyDesc,This is a compact stack of Super Corn. Use this item to open and unpack it.
resourceCropMushroomsBundleKyDesc,This is a compact stack of Mushrooms. Use this item to open and unpack it.
resourceCropPotatoBundleKyDesc,This is a compact stack of Potatos. Use this item to open and unpack it.
resourceCropPumpkinBundleKyDesc,This is a compact stack of Pumpkins. Use this item to open and unpack it.
resourceCropYuccaFruitBundleKyDesc,This is a compact stack of Yucca Fruit. Use this item to open and unpack it.
resourceEggBundleKyDesc,This is a compact stack of Eggs. Use this item to open and unpack it.
resourceEggBoiledBundleKyDesc,This is a compact stack of Boiled Egg. Use this item to open and unpack it.
resourceFishTacosBundleKyDesc,This is a compact stack of Fish Tacos. Use this item to open and unpack it.
resourceGrilledMeatBundleKyDesc,This is a compact stack of Grilled Meat. Use this item to open and unpack it.
resourceGumboStewBundleKyDesc,This is a compact stack of Gumbo Stew. Use this item to open and unpack it.
resourceHoboStewBundleKyDesc,This is a compact stack of Hobo Stew. Use this item to open and unpack it.
resourceHoneyBundleKyDesc,This is a compact stack of Honey. Use this item to open and unpack it.
resourceMeatStewBundleKyDesc,This is a compact stack of Meat Stew. Use this item to open and unpack it.
resourcePumpkinBreadBundleKyDesc,This is a compact stack of Pumpkin Bread. Use this item to open and unpack it.
resourcePumpkinCheesecakeBundleKyDesc,This is a compact stack of Pumpkin Cheesecakes. Use this item to open and unpack it.
resourcePumpkinPieBundleKyDesc,This is a compact stack of Pumpkin Pies. Use this item to open and unpack it.
resourceRawMeatBundleKyDesc,This is a compact stack of Raw Meat. Use this item to open and unpack it.
resourceRottingFleshBundleKyDesc,This is a compact stack of Rotting Flesh. Use this item to open and unpack it.
resourceShamChowderBundleKyDesc,This is a compact stack of Sham Chowder. Use this item to open and unpack it.
resourceShamSandwichBundleKyDesc,This is a compact stack of Old Sham Sandwiches. Use this item to open and unpack it.
resourceShepardsPieBundleKyDesc,This is a compact stack of Shepards Pie. Use this item to open and unpack it.
resourceSpaghettiBundleKyDesc,This is a compact stack of Spaghetti. Use this item to open and unpack it.
resourceSteakAndPotatoBundleKyDesc,This is a compact stack of Steak and Potatos. Use this item to open and unpack it.
resourceTunaFishGravyToastBundleKyDesc,This is a compact stack of Tuna Fish Gravy Toast. Use this item to open and unpack it.
resourceVegetableStewBundleKyDesc,This is a compact stack of Vegetable Stew. Use this item to open and unpack it.
resourceBotRoboticsPartsBundleKyDesc,This is a compact stack of Robotics Parts. Use this item to open and unpack it.
resourceBowT1WoodenBowPartsBundleKyDesc,This is a compact stack of Bow / Crossbow Parts. Use this item to open and unpack it.
resourceExplosivesT3RocketLauncherPartsBundleKyDesc,This is a compact stack of Rocket Launcher Parts. Use this item to open and unpack it.
resourceHandgunT1PistolPartsBundleKyDesc,This is a compact stack of Handgun Parts. Use this item to open and unpack it.
resourceMGT1AK47PartsBundleKyDesc,This is a compact stack of Machine Gun Parts. Use this item to open and unpack it.
resourceRifleT1HuntingRiflePartsBundleKyDesc,This is a compact stack of Rifle Parts. Use this item to open and unpack it.
resourceShotgunT1DoubleBarrelPartsBundleKyDesc,This is a compact stack of Shotgun Parts. Use this item to open and unpack it.
resourceAloeCreamBundleKyDesc,This is a compact stack of Aloe Cream. Use this item to open and unpack it.
resourceBandageBundleKyDesc,This is a compact stack of Bandages. Use this item to open and unpack it.
resourceBloodBagBundleKyDesc,This is a compact stack of Blood Bags. Use this item to open and unpack it.
resourceFirstAidBandageBundleKyDesc,This is a compact stack of First Aid Bandages. Use this item to open and unpack it.
resourceFirstAidKitBundleKyDesc,This is a compact stack of First Aid Kits. Use this item to open and unpack it.
resourcePlasterCastBundleKyDesc,This is a compact stack of Plaster Casts. Use this item to open and unpack it.
resourceSplintBundleKyDesc,This is a compact stack of Splints. Use this item to open and unpack it.
resourceToolAllSteelPartsBundleKyDesc,This is a compact stack of Steel Tool Parts. Use this item to open and unpack it.
resourceToolAxeT3ChainsawPartsBundleKyDesc,This is a compact stack of Motor Tool Parts. Use this item to open and unpack it.
resourceWpnBatonT2StunBatonPartsBundleKyDesc,This is a compact stack of Baton Parts. Use this item to open and unpack it.
